id,question,gt_docs,dense_recall@5,dense_recall@12,dense_mrr@5,sparse_recall@5,sparse_recall@12,sparse_mrr@5,hybrid_recall@5,hybrid_recall@12,hybrid_mrr@5,hybrid_rerank_recall@5,hybrid_rerank_recall@12,hybrid_rerank_mrr@5
19,"How much did 3M spend on research, development and related expenses in 2018?",3M_2018_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,"What was 3M's net loss attributable to 3M for the six months ended June 30, 2023?",3M_2023Q2_10Q.pdf,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
21,What were 3M's dividends declared per common share in 2022?,3M_2022_10K.pdf,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,AES 2021年的总收入是多少？,AES_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,"How many monthly active users (MAUs) did King have as of December 31, 2019?",ACTIVISIONBLIZZARD_2019_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,"Which Activision Blizzard segment generated $2,219 million of segment net revenues in 2019?",ACTIVISIONBLIZZARD_2019_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,What was AES's revenue from the South America SBU in 2022?,AES_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,"How many employees did Activision Blizzard have at December 31, 2019?",ACTIVISIONBLIZZARD_2019_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,3M 2022年哪一业务分部的销售额最高？该分部2021年销售额是多少？,3M_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
28,What was Activision Blizzard's consolidated net revenue in 2019?,ACTIVISIONBLIZZARD_2019_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,What was 3M's diluted earnings per share attributable to 3M common shareholders in 2022?,3M_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,What was AES's Adjusted EPS (non-GAAP) in 2022?,AES_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,3M 2022年的利润是多少？,3M_2022_10K.pdf,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,1.0
32,What was 3M's net income in 2022?,3M_2022_10K.pdf,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5
33,What was AES's operating margin in 2022?,AES_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,What was 3M's gross margin in 2022?,3M_2022_10K.pdf,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.5
35,"动视暴雪2019年的""净预订额""（net bookings）和""净收入""（net revenues）分别是多少？两者有何区别？",ACTIVISIONBLIZZARD_2019_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,"What was Activision Blizzard's total segment operating income in 2019, and how does it differ from consolidated GAAP operating income?",ACTIVISIONBLIZZARD_2019_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,"3M 2022年的""有机销售增长""（organic sales growth）是多少？与总销售变化（total sales change）有何不同？",3M_2022_10K.pdf,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0
38,"What was 3M's Adjusted EPS in 2022, and how does it differ from GAAP diluted EPS?",3M_2022_10K.pdf,1.0,1.0,0.2,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.3333333333333333
39,AES 2022年的受监管收入（regulated revenue）与非受监管收入（non-regulated revenue）分别是多少？,AES_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,"What does ""SBU"" mean in AES's 2022 10-K, and what are AES's SBUs?",AES_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,"What are Activision Blizzard's ""in-game net revenues"" and what were they in 2019?",ACTIVISIONBLIZZARD_2019_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,3M的财年（fiscal year）是如何定义的？3M 2022财年的截止日是什么时候？,3M_2022_10K.pdf,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,0.25,1.0,1.0,1.0
43,"3M 2022年利润表中的""净销售额""（net sales）与""营业利润""（operating income）分别是多少？中文语境的""营业收入""容易与哪个混淆？",3M_2022_10K.pdf,1.0,1.0,0.25,1.0,1.0,0.5,1.0,1.0,0.25,1.0,1.0,1.0
44,What was 3M's operating income margin in 2022 (based on the income statement)?,3M_2022_10K.pdf,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.5
45,"AES 2022年利润表中的""Operating margin""科目金额与2021年相比是上升还是下降？",AES_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,根据3M 2023年二季报（10-Q），3M的净销售额中是否包含医疗设备租赁收入？金额是多少？,3M_2023Q2_10Q.pdf,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0
47,"3M 2022年利润表中的""Gain on business divestitures""是什么含义？2022年金额是多少？",3M_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0
48,"For Activision Blizzard's Blizzard segment in 2019, what is the difference between external net revenues and segment net revenues?",ACTIVISIONBLIZZARD_2019_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,"中文语境下的""毛利""、""营业利润""、""净利润""在3M 2022年报中分别对应什么数据？",3M_2022_10K.pdf,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0
50,"For AES in 2022, what is the difference between consolidated NET INCOME (LOSS) and net income (loss) attributable to The AES Corporation?",AES_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,对比3M 2022年与2018年的净销售额，四年间增长了多少？,3M_2018_10K.pdf;3M_2022_10K.pdf,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
52,3M 2022年的归母净利润与2018年相比变化了多少？,3M_2018_10K.pdf;3M_2022_10K.pdf,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
53,3M的员工人数从2018年底到2022年底是增加还是减少了？变化幅度大约多少？,3M_2018_10K.pdf;3M_2022_10K.pdf,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0
54,3M在2018年10-K中报告五个业务分部，在2022年10-K中只报告四个，分别是怎么变化的？,3M_2018_10K.pdf;3M_2022_10K.pdf,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
55,3M Health Care分部2022年的销售额比2018年增长了多少？,3M_2018_10K.pdf;3M_2022_10K.pdf,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333
56,对比3M 2018年与2022年的研发投入（R&D expense）变化。,3M_2018_10K.pdf;3M_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0
57,3M 2023年上半年（10-Q）的净销售额约相当于2022年全年（10-K）净销售额的百分之几？,3M_2022_10K.pdf;3M_2023Q2_10Q.pdf,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,结合3M 2022年10-K与2023年Q2 10-Q，解释3M为什么从2022年全年盈利变成2023年第二季度巨亏。,3M_2022_10K.pdf;3M_2023Q2_10Q.pdf,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
59,3M 2022年10-K中列示的2020年净销售额，与2018年10-K中列示的2018年净销售额，哪个更高？,3M_2018_10K.pdf;3M_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,动视暴雪2019年的净利润与3M 2022年的净利润相比，哪家更高？,3M_2022_10K.pdf;ACTIVISIONBLIZZARD_2019_10K.pdf,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0
61,AES 2022年的总收入大约是动视暴雪2019年总收入的多少倍？,ACTIVISIONBLIZZARD_2019_10K.pdf;AES_2022_10K.pdf,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0
62,AES 2022年和3M 2022年，哪家公司盈利、哪家亏损？,3M_2022_10K.pdf;AES_2022_10K.pdf,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,0.5,0.5,1.0
63,动视暴雪2019年底与AES 2022年底的员工人数哪个更多？,ACTIVISIONBLIZZARD_2019_10K.pdf;AES_2022_10K.pdf,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.5,1.0
64,对比3M 2018年与2022年的每股宣派股利（dividends declared per share）的变化。,3M_2018_10K.pdf;3M_2022_10K.pdf,1.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0
65,对比3M 2018年与2022年的营业利润（operating income）变化。,3M_2018_10K.pdf;3M_2022_10K.pdf,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
66,3M 2022年的收入规模大约是AES 2022年的多少倍？,3M_2022_10K.pdf;AES_2022_10K.pdf,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.3333333333333333,0.5,0.5,1.0
67,根据两份10-K，3M的稀释每股收益（diluted EPS）从2018年到2022年如何变化？,3M_2018_10K.pdf;3M_2022_10K.pdf,0.5,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0
68,3M 2022年10-K中的2021年净销售额，与2018年10-K中的2017年净销售额相差多少？,3M_2018_10K.pdf;3M_2022_10K.pdf,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
69,3M在2022年10-K和2023年Q2 10-Q中分别披露了哪些重大诉讼相关税前费用？金额各是多少？,3M_2022_10K.pdf;3M_2023Q2_10Q.pdf,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0
70,三家公司（3M、AES、动视暴雪）在各自最新报告财年/期间中，哪家收入最高？请按顺序排列。,3M_2022_10K.pdf;ACTIVISIONBLIZZARD_2019_10K.pdf;AES_2022_10K.pdf,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,1.0
86,3M 2022年净销售额同比增长率是多少？,3M_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
87,3M 2018年的净销售额比2017年增长了百分之几？,3M_2018_10K.pdf,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
88,基于3M 2022年利润表，推算其2022年毛利（gross profit）与毛利率（gross margin）。,3M_2022_10K.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,3M 2022年归母净利润同比变化了百分之几？,3M_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
90,动视暴雪2019年净收入同比下降了多少（金额和百分比）？,ACTIVISIONBLIZZARD_2019_10K.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,AES 2022年总收入同比增长率是多少？,AES_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,动视暴雪2019年的经营利润率（operating income margin）是多少？,ACTIVISIONBLIZZARD_2019_10K.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,3M 2023年Q2净销售额同比下降了百分之几？,3M_2023Q2_10Q.pdf,1.0,1.0,0.25,1.0,1.0,0.2,0.0,1.0,0.0,1.0,1.0,1.0
94,AES 2022年Operating margin科目金额占收入的百分比，比2021年的占比变化了几个百分点？,AES_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95,从2014年到2018年，3M净销售额呈现怎样的变化趋势？,3M_2018_10K.pdf,1.0,1.0,0.2,0.0,0.0,0.0,1.0,1.0,0.2,1.0,1.0,1.0
96,2020-2022年3M归母净利润的变化趋势是什么？,3M_2022_10K.pdf,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
97,AES 2020-2022年收入与净利润的走势有什么不同？,AES_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
98,动视暴雪2018→2019年，净收入和净利润哪个下降得更快？,ACTIVISIONBLIZZARD_2019_10K.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,3M 2022年四个业务分部中，哪些分部销售额同比下滑最严重？,3M_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
100,结合2018年与2022年两份10-K，描述3M稀释EPS的长期走势，并说明2022年EPS与2018年相比的变化。,3M_2018_10K.pdf;3M_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
